Year,Month,Day,Site,Plot,Observer,SurveyType,TransectLevel,TransectLength.m,TransectWidth.m,TimeStart,TimeEnd,10mSection,ShoreDirection,HorizViz(m),VertViz(m),Depth.ft,Depth.m,Substrate1,Substrate2,KelpCover,Habitat,Species,Sex,Size.mm,Size.cm,Count,Behaviour,AbaloneCover,AbaloneSubstrate,Notes
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,ab.shell,,85,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,ab.shell,,50,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,ab.shell,,80,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,ab.shell,,55,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,ab.shell,,62,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,ab.shell,,111,,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,leafy.hornmouth,,,,2,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,Patiria,,,,6,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,green.urchin,,,3,9,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,green.urchin,,,2,3,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,green.urchin,,,2.5,11,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,green.urchin,,,3.5,6,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,green.urchin,,,4,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,green.urchin,,,4.5,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,green.urchin,,,,43,,,,
2017,Sep,9,Murchison NE,1,OP,invert,mid,30,1,14:02,14:12,,,,,,,,,NKC,UB,Urticina sp,,,,3,,,,
2017,Sep,9,Murchison NE,1,OP,invert,shallow,30,1,15:41,,,,,,,,,,NKC,UB,Pycno,,,25,1,,,,
2017,Sep,9,Murchison NE,1,OP,invert,shallow,30,1,15:41,,,,,,,,,,NKC,UB,Dermasterias,,,,9,,,,
2017,Sep,9,Murchison NE,1,OP,invert,shallow,30,1,15:41,,,,,,,,,,NKC,UB,Crassadoma,,,,12,,,,
2017,Sep,9,Murchison NE,1,OP,invert,shallow,30,1,15:41,,,,,,,,,,NKC,UB,ab.shell,,61,,1,,,,
